"Reference","Value","Footprint","LCSC Part","Qty"
"C1","4.7uF","easyeda2kicad:C0402","C368809","1"
"C2, C6, C8-C14","100nF","easyeda2kicad:C0402","C1525","9"
"C3","100n","easyeda2kicad:C0402","C1525","1"
"C4, C5","10uF","easyeda2kicad:C0402","C315248","2"
"C7","22uF","easyeda2kicad:C0805","C602037","1"
"D1-D3","~","easyeda2kicad:SOD-523_L1.2-W0.8-LS1.6-BI","C383211","3"
"J1","TYPE-C 16PIN 2MD(073)","easyeda2kicad:USB-C-SMD_TYPE-C-6PIN-2MD-073","C2765186","1"
"J2","X1311WVS-03J-C40D42R2","easyeda2kicad:HDR-SMD_3P-P1.27-V-M-LS4.2_X1311WVS-03J-C40D42R2","C5243526","1"
"J4, J5","X6511WV-17H-C30D60","easyeda2kicad:HDR-TH_17P-P2.54-V-M","C725949","2"
"LED1","0805G (Green)","easyeda2kicad:LED0805-R-RD","C2297","1"
"LED2","FC-2012HRK-620D","easyeda2kicad:LED0805-R-RD","C84256","1"
"Q3, Q4","SS8050-G","easyeda2kicad:SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR","C164886","2"
"R1, R2, R14, R15","27R","easyeda2kicad:R0402","C138021","4"
"R3, R8, R9","0","easyeda2kicad:R0402","C17168","3"
"R4, R5, R12","5.1k","easyeda2kicad:R0402","C25905","3"
"R6, R10, R11","10k","easyeda2kicad:R0402","C25744","3"
"R13","560","easyeda2kicad:R0402","C25126","1"
"SW1, SW2","PTS645SH50SMTR92LFS","easyeda2kicad:KEY-SMD_4P-L6.0-W6.0-P4.50-LS9.0","C221869","2"
"U1","ESP32-WROOM-32E(8MB)","easyeda2kicad:WIFI-SMD_ESP32-WROOM-32E","C701342","1"
"U2","FT231XQ-R","easyeda2kicad:QFN-20_L4.0-W4.0-P0.50-BL-EP2.2","C132159","1"
"U3","AMS1117-3.3_C347222","easyeda2kicad:SOT-223-4_L6.5-W3.5-P2.30-LS7.0-BR","C347222","1"
